Source IP,Source Port,Destination IP,Destination Port,Protocol,Rx-Pkts,Tx-Pkts,Rx-Bytes,Tx-Bytes,SPLT-Len,SPLT-Data,SNI
10.224.125.81,57272,35.190.23.19,443,TCP,12,31,2801,-10583,72,"['-69', '-1400', '-1066', '+0', '+39', '+0', '-0', '+371', '-0', '-39', '-35', '+0', '+0', '-69', '-1301', '+0', '+0', '+39', '-0', '+368', '-0', '-39', '-35', '+0', '-69', '-378', '+0', '+39', '-0', '+369', '-0', '-39', '-35', '+0', '-69', '-39', '-69', '-1400', '-708', '-766', '+0', '+0', '+39', '+0', '-0', '+368', '-0', '-39', '-35', '+0', '+393', '-39', '-35', '+0', '-65', '-108', '-1400', '-1089', '+0', '+0', '+0', '+39', '-0', '+368', '-0', '-39', '-35', '+0', '+369', '-39', '-35', '+0']",
10.224.125.81,47810,118.128.200.14,443,TCP,2,4,2463,-4129,55,"['-1400', '-706', '-1400', '-623', '+0', '+0', '+1473', '+990', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '+0', '-0', '+0']",
10.224.125.81,46752,61.32.111.147,443,TCP,3,7,2461,-5727,60,"['-0', '+0', '-0', '-1400', '-356', '+0', '-0', '-0', '-64', '-1400', '-708', '-1400', '-399', '+0', '+0', '+71', '+1400', '+990', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '+0', '-0', '+0']",rr4---sn-ab02a0nfpgxapox-bh2lr.googlevideo.com
10.224.125.81,38838,18.178.61.111,443,TCP,13,18,1739,-984,56,"['-54', '+56', '-0', '-56', '+0', '-54', '+0', '+56', '-0', '-54', '+56', '-0', '-56', '+0', '-54', '+0', '+56', '-0', '-54', '+56', '-0', '-56', '+0', '-54', '+0', '+56', '-0', '+1067', '-0', '-54', '+56', '-0', '-56', '+0', '-54', '+0', '+56', '-0', '-54', '+56', '-0', '-56', '+0', '-54', '+0', '+56', '-0', '-54', '+56', '-0', '-56', '+0', '-54', '+0', '+56', '-0']",
10.224.125.81,38852,18.178.61.111,443,TCP,12,17,1683,-930,52,"['-54', '+56', '-0', '-56', '+0', '-54', '+0', '+56', '-0', '-54', '+56', '-0', '-56', '+0', '-54', '+0', '+56', '-0', '-54', '+56', '-0', '-56', '+0', '-54', '+0', '+56', '-0', '-54', '+56', '-0', '-56', '+0', '-54', '+0', '+56', '-0', '-54', '+56', '-0', '+1067', '-0', '-56', '+0', '-54', '+0', '+56', '-0', '-54', '+56', '-0', '-56', '+0']",
10.224.125.81,52482,18.178.61.111,443,TCP,12,17,1683,-930,52,"['-54', '+56', '-0', '+1067', '-0', '-56', '+0', '-54', '+0', '+56', '-0', '-54', '+56', '-0', '-56', '+0', '-54', '+0', '+56', '-0', '-54', '+56', '-0', '-56', '+0', '-54', '+0', '+56', '-0', '-54', '+56', '-0', '-56', '+0', '-54', '+0', '+56', '-0', '-54', '+56', '-0', '-56', '+0', '-54', '+0', '+56', '-0', '-54', '+56', '-0', '-56', '+0']",
10.224.125.81,45016,172.217.175.4,443,TCP,1,3,1492,-2313,13,"['-0', '+0', '-0', '-1400', '-839', '+0', '+0', '+1492', '-0', '-74', '+0', '+0', '-0']",www.google.com
10.224.125.81,49246,142.250.196.132,443,TCP,9,7,1294,-921,30,"['-379', '+0', '+497', '+73', '+31', '+39', '-0', '-39', '-35', '+0', '+0', '-355', '-39', '+0', '+0', '+39', '-0', '+472', '+73', '+31', '+39', '-0', '-0', '-0', '-0', '-39', '-35', '+0', '-0', '+0']",
10.224.125.81,41564,142.250.196.130,443,TCP,15,15,1252,-1054,56,"['-203', '-39', '+0', '+0', '+39', '-0', '+235', '+73', '+31', '+39', '-0', '-0', '-0', '-35', '-39', '-35', '+0', '+0', '-203', '-39', '+0', '+0', '+39', '-0', '+235', '+73', '+31', '+39', '-0', '-0', '-0', '-0', '-35', '-39', '-35', '+0', '+0', '-204', '-39', '+0', '+0', '+39', '-0', '+236', '+73', '+31', '+39', '-0', '-0', '-0', '-0', '-35', '-39', '-35', '+0', '+0']",
10.224.125.81,44206,172.217.31.163,443,TCP,9,7,465,-778,30,"['-308', '+0', '+70', '+73', '+31', '+39', '-0', '-35', '-39', '+0', '+0', '-283', '-39', '+0', '+0', '+39', '-0', '+70', '+73', '+31', '+39', '-0', '-0', '-0', '-0', '-35', '-39', '+0', '-0', '+0']",
10.224.125.81,34380,142.250.196.130,443,TCP,6,9,375,-814,27,"['-193', '-39', '+0', '+0', '+39', '+86', '-0', '-39', '+0', '-193', '-39', '+0', '+0', '+39', '+86', '-0', '-39', '+0', '-194', '-39', '+0', '+0', '+39', '+86', '-0', '-39', '+0']",
10.224.125.81,48129,168.126.63.1,53,UDP,1,1,250,-58,2,"['-58', '+250']",
10.224.125.81,58064,168.126.63.1,53,UDP,1,1,199,-75,2,"['-75', '+199']",
10.224.125.81,46936,168.126.63.1,53,UDP,1,1,199,-75,2,"['-75', '+199']",
10.224.125.81,54336,168.126.63.1,53,UDP,1,1,199,-75,2,"['-75', '+199']",
10.224.125.81,57132,168.126.63.1,53,UDP,1,1,199,-75,2,"['-75', '+199']",
10.224.125.81,43660,168.126.63.1,53,UDP,1,1,197,-74,2,"['-74', '+197']",
